ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
IND,India,Climate Watch,Total excluding LUCF,All GHG,MtCO₂e,3444.46,3209.74,3417.45,3436.98,3270.01,3149.14,3106.42,3084.7,2901.92,2833.19,2682.32,2569.98,2458.22,2311.83,2209.87,2065.12,1966.93,1892.93,1804.91,1763.22,1743.53,1720.99,1682.1,1605.84,1576.64,1515.94,1464.12,1397.97,1353.38,1320.96,1297.66,1243.41
IND,India,Climate Watch,Total including LUCF,All GHG,MtCO₂e,3419.89,3176.03,3385.58,3407.73,3242.05,3118.38,3043.88,3023.53,2841.87,2777.35,2620.5,2582.36,2472.5,2318.77,2219.16,2072.27,1973.75,1901.83,1811.82,1767.53,1748.15,1500.33,1462.77,1384.94,1355.73,1295.25,1246.36,1180.19,1135.6,1103.18,1079.89,1025.63
IND,India,Climate Watch,Energy,All GHG,MtCO₂e,2427.37,2223.6,2432.88,2469.49,2332.55,2219.94,2186.68,2173.39,2002.18,1945.56,1799.36,1704.65,1609.43,1466.85,1379.23,1256.83,1180.34,1131.16,1058.71,1031.77,999.77,984.46,948.39,888.07,874.54,829.33,794.81,741.92,708.38,685.17,670.08,626.41
IND,India,Climate Watch,Industrial Processes,All GHG,MtCO₂e,178.61,149.37,168.55,162.24,142.62,143.31,135.89,133.32,124.45,115.99,106.23,100.08,94.85,86.35,80.97,77.08,71.39,67.2,62.51,60.7,58.29,57.48,55.06,48.46,45.8,41.42,37.39,34.29,31.9,30.06,29.0,26.45
IND,India,Climate Watch,Agriculture,All GHG,MtCO₂e,752.08,751.42,731.75,722.09,712.76,704.92,703.96,699.2,697.62,695.08,701.28,690.91,680.87,686.83,679.15,661.96,647.23,627.86,618.26,606.58,622.57,617.43,622.77,619.17,611.91,606.54,599.02,594.6,586.6,579.89,573.39,566.01
IND,India,Climate Watch,Waste,All GHG,MtCO₂e,86.4,85.35,84.26,83.17,82.07,80.98,79.89,78.78,77.67,76.56,75.45,74.34,73.07,71.8,70.53,69.25,67.98,66.71,65.44,64.17,62.89,61.62,55.88,50.14,44.39,38.65,32.9,27.16,26.5,25.85,25.19,24.54
IND,India,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-24.57,-33.71,-31.86,-29.25,-27.95,-30.76,-62.54,-61.16,-60.05,-55.84,-61.81,12.38,14.28,6.94,9.29,7.15,6.82,8.89,6.91,4.31,4.62,-220.67,-219.33,-220.9,-220.92,-220.69,-217.76,-217.78,-217.78,-217.78,-217.78,-217.78
IND,India,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,10.92,10.07,17.52,18.14,17.26,16.51,15.37,14.41,13.98,13.63,14.53,14.09,13.4,12.62,12.86,11.39,9.8,9.15,8.16,7.46,7.35,7.27,7.07,6.73,6.62,6.68,6.41,5.89,5.45,4.99,4.9,5.16
IND,India,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,1230.62,1122.93,1235.14,1263.02,1161.63,1102.44,1108.95,1129.4,1011.33,994.24,864.63,823.81,793.39,725.4,706.68,642.4,602.38,587.43,538.83,515.89,507.63,493.44,461.71,420.03,403.92,389.9,366.55,321.31,308.2,279.84,260.14,232.96
IND,India,Climate Watch,Building,All GHG,MtCO₂e,167.12,162.5,161.26,156.93,152.24,149.94,145.92,141.93,137.86,135.75,135.05,130.48,126.98,122.44,120.04,117.68,115.92,114.72,112.07,109.67,106.04,107.85,108.34,105.08,107.41,101.5,99.4,97.27,92.41,91.84,92.41,89.37
IND,India,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,568.16,509.16,556.86,572.66,562.6,530.64,509.5,506.42,474.58,436.67,448.03,402.81,359.88,312.61,299.49,264.23,236.27,211.69,201.65,210.9,197.16,195.1,190.57,185.33,175.81,159.45,159.05,166.74,156.74,158.77,155.29,151.06
IND,India,Climate Watch,Transportation,All GHG,MtCO₂e,302.98,275.57,316.45,313.61,298.71,276.28,264.4,241.81,232.0,227.07,214.56,197.84,183.24,167.32,146.67,123.84,118.48,110.9,102.21,100.37,97.43,97.52,95.64,91.02,87.97,85.95,80.3,72.65,70.33,70.26,68.61,66.02
IND,India,Climate Watch,Other Fuel Combustion,All GHG,MtCO₂e,72.68,64.79,69.79,71.83,69.72,66.89,64.98,64.75,60.45,66.11,53.39,69.6,69.05,71.38,41.91,47.24,47.94,48.68,48.39,41.45,39.63,38.9,40.78,35.41,45.69,42.12,39.54,37.38,32.53,33.48,33.55,28.69
IND,India,Climate Watch,Fugitive Emissions,All GHG,MtCO₂e,85.8,88.66,93.38,91.43,87.66,93.75,92.93,89.08,85.95,85.72,83.69,80.11,76.89,67.7,64.43,61.44,59.34,57.73,55.56,53.48,51.88,51.65,51.35,51.21,53.74,50.41,49.97,46.58,48.18,50.98,60.09,58.32
IND,India,Climate Watch,Total excluding LUCF,CH4,MtCO₂e,707.84,704.04,700.62,696.62,687.48,686.74,681.66,675.94,671.72,666.92,667.83,660.46,653.02,652.23,643.21,630.11,620.85,607.45,600.14,592.13,598.55,596.06,591.25,583.93,576.51,567.03,557.26,546.9,542.97,539.56,540.0,533.88
IND,India,Climate Watch,Energy,CH4,MtCO₂e,122.22,124.44,129.68,127.61,123.24,127.79,126.4,123.07,119.94,119.2,117.87,114.87,110.84,101.13,96.98,93.63,91.17,89.12,86.45,84.22,81.98,81.79,81.15,80.63,82.64,79.48,78.57,75.41,74.82,75.54,79.2,77.31
IND,India,Climate Watch,Electricity/Heat,CH4,MtCO₂e,0.94,0.9,0.88,0.88,0.87,0.72,0.59,0.61,0.54,0.51,0.46,0.43,0.37,0.33,0.33,0.29,0.24,0.23,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.13,0.12,0.1,0.1,0.09,0.08,0.08
IND,India,Climate Watch,Building,CH4,MtCO₂e,32.7,32.73,32.79,32.77,32.83,32.85,32.86,32.93,33.02,33.04,33.07,32.58,32.27,31.96,31.66,31.34,31.06,30.79,30.5,30.24,29.95,30.35,30.11,29.93,29.76,29.53,29.35,29.15,28.94,28.72,28.59,28.45
IND,India,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,3.42,3.18,3.11,3.11,2.93,2.74,2.66,2.57,2.44,2.24,2.22,2.12,1.91,1.77,1.68,1.55,1.46,1.38,1.3,1.29,1.27,1.06,1.04,1.03,1.0,0.95,0.88,0.9,0.83,0.79,0.78,0.73
IND,India,Climate Watch,Transportation,CH4,MtCO₂e,1.65,1.4,1.55,1.49,1.37,1.24,1.16,1.04,0.96,0.91,0.88,0.8,0.73,0.63,0.57,0.5,0.47,0.44,0.4,0.38,0.34,0.32,0.29,0.27,0.26,0.25,0.24,0.21,0.2,0.19,0.18,0.18
IND,India,Climate Watch,Other Fuel Combustion,CH4,MtCO₂e,0.54,0.47,0.5,0.52,0.5,0.48,0.46,0.48,0.39,0.49,0.27,0.59,0.6,0.67,0.18,0.27,0.34,0.34,0.31,0.29,0.26,0.26,0.29,0.22,0.44,0.39,0.37,0.36,0.31,0.36,0.38,0.31
IND,India,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,82.99,85.77,90.85,88.84,84.75,89.76,88.67,85.44,82.59,82.02,80.96,78.36,74.96,65.78,62.56,59.67,57.61,55.94,53.75,51.85,49.99,49.64,49.27,49.04,51.05,48.24,47.63,44.69,44.45,45.4,49.19,47.57
IND,India,Climate Watch,Industrial Processes,CH4,MtCO₂e,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.09,0.08,0.06,0.05,0.0,0.0,0.0,0.0
IND,India,Climate Watch,Agriculture,CH4,MtCO₂e,513.92,508.79,501.06,500.07,496.22,491.86,489.1,487.65,487.49,484.38,487.57,484.12,481.09,490.36,485.86,476.48,470.03,459.06,454.78,449.37,458.4,456.45,457.74,456.39,452.4,451.53,448.12,446.37,443.69,440.16,437.56,433.94
IND,India,Climate Watch,Waste,CH4,MtCO₂e,71.57,70.67,69.74,68.81,67.88,66.96,66.03,65.09,64.15,63.21,62.27,61.33,60.96,60.6,60.23,59.87,59.5,59.14,58.77,58.41,58.04,57.68,52.25,46.81,41.38,35.94,30.51,25.08,24.47,23.86,23.25,22.64
IND,India,Climate Watch,Bunker Fuels,CH4,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,India,Climate Watch,Land-Use Change and Forestry,CH4,MtCO₂e,5.3,0.92,1.8,3.03,3.66,2.31,1.73,2.39,2.92,4.94,2.08,4.18,5.09,1.57,2.7,1.67,1.51,2.5,1.55,0.31,0.45,1.28,2.25,1.09,1.07,1.25,2.3,2.3,2.3,2.3,2.3,2.3
IND,India,Climate Watch,Total including LUCF,CH4,MtCO₂e,713.14,704.96,702.42,699.66,691.13,689.05,683.39,678.34,674.64,671.86,669.91,664.64,658.11,653.8,645.91,631.79,622.36,609.96,601.69,592.44,599.0,597.34,593.5,585.02,577.58,568.27,559.56,549.2,545.27,541.86,542.3,536.18
IND,India,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,2430.83,2200.44,2424.0,2457.83,2308.34,2194.72,2157.5,2146.34,1971.35,1908.49,1755.71,1659.4,1564.32,1424.32,1336.67,1215.15,1136.41,1085.61,1011.71,985.4,953.47,937.79,901.26,836.2,819.18,774.0,737.78,685.84,651.23,626.11,606.86,563.22
IND,India,Climate Watch,Energy,CO2,MtCO₂e,2281.83,2077.54,2280.3,2318.83,2187.34,2071.42,2040.0,2030.54,1863.55,1808.29,1664.4,1573.37,1483.05,1351.08,1268.34,1150.24,1076.72,1030.07,960.83,936.29,906.73,891.83,856.67,797.17,781.76,739.92,706.68,657.3,624.63,600.95,582.36,540.87
IND,India,Climate Watch,Electricity/Heat,CO2,MtCO₂e,1223.37,1116.26,1228.08,1255.82,1154.9,1096.32,1103.12,1123.43,1006.04,989.11,860.23,819.68,789.51,721.88,703.28,639.33,599.57,584.73,536.41,513.58,505.36,491.24,459.65,418.14,402.1,388.13,364.89,319.86,306.8,278.57,258.97,231.92
IND,India,Climate Watch,Building,CO2,MtCO₂e,129.22,124.57,123.25,118.94,114.19,111.86,107.82,103.75,99.59,97.45,96.72,92.71,89.56,85.39,83.34,81.34,79.92,79.03,76.71,74.62,71.32,72.68,73.44,70.4,72.9,67.27,65.38,63.49,58.88,58.56,59.28,56.41
IND,India,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,559.39,501.03,548.9,564.68,555.1,523.64,502.72,499.88,468.42,431.07,442.46,397.49,355.09,308.18,295.26,260.31,232.62,208.26,198.42,207.67,193.98,192.27,187.8,182.58,173.13,156.92,156.7,164.34,154.53,156.65,153.2,149.11
IND,India,Climate Watch,Transportation,CO2,MtCO₂e,295.09,268.66,308.46,305.69,291.23,269.39,257.75,235.75,226.26,221.52,209.29,192.92,178.71,163.21,142.98,120.65,115.4,108.05,99.53,97.74,94.92,95.09,93.31,88.78,85.8,83.8,78.29,70.81,68.55,68.55,66.93,64.38
IND,India,Climate Watch,Other Fuel Combustion,CO2,MtCO₂e,71.93,64.13,69.09,71.11,69.02,66.22,64.34,64.09,59.89,65.43,52.97,68.81,68.24,70.5,41.62,46.84,47.47,48.2,47.94,41.05,39.27,38.54,40.38,35.1,45.13,41.62,39.07,36.92,32.13,33.03,33.08,28.3
IND,India,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.82,2.89,2.53,2.59,2.91,3.99,4.26,3.64,3.36,3.7,2.73,1.76,1.94,1.92,1.87,1.77,1.73,1.8,1.82,1.63,1.89,2.01,2.08,2.17,2.69,2.17,2.34,1.88,3.73,5.59,10.9,10.75
IND,India,Climate Watch,Bunker Fuels,CO2,MtCO₂e,10.82,9.98,17.36,17.98,17.11,16.37,15.24,14.29,13.86,13.51,14.4,13.97,13.28,12.51,12.75,11.29,9.72,9.07,8.08,7.39,7.29,7.21,7.01,6.67,6.56,6.62,6.35,5.83,5.4,4.94,4.86,5.11
IND,India,Climate Watch,Industrial Processes,CO2,MtCO₂e,149.0,122.9,143.7,139.0,121.0,123.3,117.5,115.8,107.8,100.2,91.31,86.03,81.27,73.24,68.33,64.91,59.69,55.54,50.88,49.11,46.74,45.96,44.59,39.03,37.42,34.08,31.1,28.54,26.6,25.16,24.5,22.35
IND,India,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,-35.63,-35.63,-35.63,-35.59,-35.59,-35.59,-66.16,-66.16,-66.16,-66.16,-66.16,3.65,3.66,3.65,3.65,3.65,3.65,3.67,3.67,3.68,3.68,-222.41,-222.39,-222.37,-222.37,-222.37,-222.37,-222.39,-222.39,-222.39,-222.39,-222.39
IND,India,Climate Watch,Total including LUCF,CO2,MtCO₂e,2395.19,2164.8,2388.37,2422.24,2272.75,2159.12,2091.34,2080.18,1905.19,1842.33,1689.55,1663.05,1567.98,1427.97,1340.33,1218.8,1140.06,1089.27,1015.38,989.08,957.15,715.38,678.87,613.83,596.81,551.62,515.41,463.45,428.84,403.72,384.47,340.83
IND,India,Climate Watch,Total excluding LUCF,N2O,MtCO₂e,279.36,281.94,271.08,262.37,255.61,250.7,251.86,247.79,245.02,244.72,246.49,238.62,229.98,225.01,220.32,210.8,201.23,191.6,184.97,177.76,183.75,179.57,182.86,179.82,175.91,170.71,165.72,162.21,156.51,152.96,148.81,144.66
IND,India,Climate Watch,Energy,N2O,MtCO₂e,23.32,21.62,22.9,23.05,21.97,20.73,20.28,19.78,18.68,18.08,17.09,16.41,15.53,14.64,13.9,12.96,12.44,11.98,11.43,11.26,11.06,10.84,10.57,10.28,10.14,9.93,9.55,9.21,8.94,8.68,8.52,8.24
IND,India,Climate Watch,Electricity/Heat,N2O,MtCO₂e,6.31,5.77,6.19,6.32,5.86,5.4,5.24,5.36,4.76,4.61,3.94,3.7,3.51,3.19,3.07,2.78,2.57,2.48,2.23,2.13,2.1,2.04,1.91,1.75,1.69,1.64,1.54,1.35,1.3,1.17,1.09,0.97
IND,India,Climate Watch,Building,N2O,MtCO₂e,5.2,5.2,5.21,5.22,5.22,5.23,5.24,5.25,5.25,5.26,5.26,5.19,5.14,5.09,5.04,4.99,4.94,4.89,4.86,4.82,4.77,4.82,4.79,4.75,4.75,4.7,4.66,4.63,4.59,4.56,4.54,4.51
IND,India,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,5.36,4.95,4.86,4.87,4.58,4.26,4.12,3.97,3.72,3.37,3.35,3.2,2.88,2.66,2.55,2.37,2.19,2.05,1.92,1.94,1.91,1.76,1.73,1.72,1.67,1.57,1.47,1.5,1.38,1.33,1.3,1.22
IND,India,Climate Watch,Transportation,N2O,MtCO₂e,6.24,5.5,6.44,6.43,6.1,5.65,5.49,5.03,4.78,4.65,4.39,4.12,3.8,3.49,3.12,2.69,2.61,2.42,2.28,2.26,2.17,2.11,2.03,1.97,1.91,1.89,1.77,1.63,1.58,1.52,1.5,1.45
IND,India,Climate Watch,Other Fuel Combustion,N2O,MtCO₂e,0.21,0.19,0.2,0.21,0.2,0.19,0.19,0.18,0.17,0.19,0.15,0.2,0.2,0.21,0.11,0.13,0.13,0.14,0.14,0.11,0.1,0.1,0.11,0.09,0.13,0.11,0.11,0.1,0.09,0.09,0.09,0.08
IND,India,Climate Watch,Fugitive Emissions,N2O,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,India,Climate Watch,Industrial Processes,N2O,MtCO₂e,3.04,3.01,2.98,2.95,2.92,2.88,2.85,2.77,2.68,2.59,2.5,2.42,2.56,2.7,2.84,2.98,3.12,3.26,3.4,3.53,3.67,3.81,3.63,3.44,3.25,3.06,2.87,2.68,2.63,2.57,2.51,2.45
IND,India,Climate Watch,Agriculture,N2O,MtCO₂e,238.17,242.63,230.69,222.02,216.54,213.06,214.86,211.55,210.13,210.7,213.71,206.79,199.78,196.47,193.3,185.48,177.19,168.8,163.48,157.21,164.17,160.98,165.03,162.78,159.51,155.02,150.9,148.23,142.91,139.72,135.83,132.07
IND,India,Climate Watch,Waste,N2O,MtCO₂e,14.84,14.68,14.52,14.35,14.19,14.02,13.86,13.69,13.52,13.35,13.18,13.01,12.11,11.2,10.29,9.39,8.48,7.57,6.66,5.76,4.85,3.94,3.63,3.32,3.01,2.7,2.4,2.09,2.04,1.99,1.95,1.9
IND,India,Climate Watch,Bunker Fuels,N2O,MtCO₂e,0.09,0.08,0.14,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04
IND,India,Climate Watch,Land-Use Change and Forestry,N2O,MtCO₂e,5.77,1.0,1.96,3.3,3.98,2.52,1.89,2.6,3.18,5.38,2.26,4.55,5.54,1.71,2.94,1.82,1.65,2.72,1.69,0.33,0.49,0.46,0.81,0.39,0.38,0.44,2.31,2.31,2.31,2.31,2.31,2.31
IND,India,Climate Watch,Total including LUCF,N2O,MtCO₂e,285.13,282.94,273.05,265.67,259.59,253.22,253.74,250.4,248.2,250.1,248.76,243.17,235.52,226.72,223.26,212.63,202.88,194.33,186.66,178.1,184.24,180.03,183.68,180.21,176.29,171.15,168.04,164.53,158.82,155.27,151.13,146.98
